name,rating,Interest Type,City
The Plaza,4.5,hotel,New York
Four Seasons Hotel New York,4.6,hotel,New York
"The Ritz-Carlton New York, Central Park",4.5,hotel,New York
"Mandarin Oriental, New York",4.6,hotel,New York
Baccarat Hotel,4.6,hotel,New York
The Bowery Hotel,4.4,hotel,New York
Four Seasons Hotel New York Downtown,4.7,hotel,New York
The Greenwich Hotel,4.6,hotel,New York
W New York – Downtown,4.3,hotel,New York
Soho Grand Hotel,4.4,hotel,New York
Hotel Pennsylvania,2.7,hotel,New York
Blue Moon Hotel,3.5,hotel,New York
Millennium Hilton New York Downtown,4.2,hotel,New York
1 Hotel Central Park,4.5,hotel,New York
New York Hilton Midtown,4.1,hotel,New York
Hyatt Herald Square New York,4.2,hotel,New York
"The Chatwal, a Luxury Collection Hotel, New York City",4.6,hotel,New York
Crosby Street Hotel,4.6,hotel,New York
Dream Downtown,4.0,hotel,New York
Hotel on Rivington,4.3,hotel,New York
Luna Park,4.4,amusement_park,New York
Playland Park,4.3,amusement_park,New York
BAYVILLE SCREAM PARK,4.4,amusement_park,New York
Six Flags Great Adventure,4.4,amusement_park,New York
Coney Island,4.5,amusement_park,New York
The Dead Rabbit Grocery and Grog,4.6,bar,New York
Rudy's,4.5,bar,New York
McSorley's Old Ale House,4.7,bar,New York
The Wayland,4.6,bar,New York
169 Bar,4.2,bar,New York
King Cole Bar,4.4,bar,New York
Employees Only,4.4,bar,New York
230 Fifth Rooftop Bar,4.3,bar,New York
Attaboy,4.6,bar,New York
NoMad Bar,4.6,bar,New York
Foley's NY,4.4,bar,New York
Tonic Times Square,4.3,bar,New York
Blind Tiger,4.5,bar,New York
BAR GOTO,4.7,bar,New York
Maison Premiere,4.6,bar,New York
Sake Bar Decibel,4.5,bar,New York
Broken Shaker at Freehand New York,4.1,bar,New York
The Rum House,4.5,bar,New York
Bemelmans Bar,4.4,bar,New York
Amor y Amargo,4.7,bar,New York
Hole in the Wall Cafe and Bar,4.6,cafe,New York
Café Grumpy,4.3,cafe,New York
B Cup Cafe New York City,4.3,cafe,New York
Ground Support Cafe,4.3,cafe,New York
Stumptown Coffee Roasters,4.5,cafe,New York
Hard Rock Cafe,4.3,cafe,New York
Le Cafe Coffee,4.4,cafe,New York
Piccolo Cafe,4.3,cafe,New York
THE ELK,4.5,cafe,New York
Café Grumpy,4.3,cafe,New York
Everyman Espresso,4.5,cafe,New York
Macaron Café,4.3,cafe,New York
Fanelli Cafe,4.4,cafe,New York
Everyman Espresso,4.5,cafe,New York
Le Cafe Coffee,4.6,cafe,New York
Cafe Lalo,3.9,cafe,New York
Intelligentsia Coffee Highline Coffeebar,4.6,cafe,New York
Housing Works Bookstore Cafe & Bar,4.6,cafe,New York
Abraço,4.6,cafe,New York
Cupping Room Cafe,4.3,cafe,New York
Resorts World Casino New York City,3.7,casino,New York
Empire City Casino,3.9,casino,New York
Ace & Jack Casino Theme Night Party Rentals NY NJ CT PA,4.9,casino,New York
紐約市雲頂世界賭場,3.4,casino,New York
Big Deal Casino,4.4,casino,New York
ULTIMATE TRADE,0.0,casino,New York
CAZZNY Events,5.0,casino,New York
Casinos By M&M,4.5,casino,New York
American Museum of Natural History,4.5,museum,New York
The Metropolitan Museum of Art,4.8,museum,New York
Solomon R. Guggenheim Museum,4.3,museum,New York
Museum of the City of New York,4.4,museum,New York
Tenement Museum,4.6,museum,New York
"Intrepid Sea, Air & Space Museum",4.6,museum,New York
Whitney Museum of American Art,4.5,museum,New York
New-York Historical Society,4.3,museum,New York
Neue Galerie,4.5,museum,New York
New Museum,4.1,museum,New York
The Morgan Library & Museum,4.7,museum,New York
New York Transit Museum,4.6,museum,New York
Cooper Hewitt Smithsonian Design Museum,4.5,museum,New York
Rubin Museum of Art,4.6,museum,New York
The Met Cloisters,4.7,museum,New York
The Frick Collection,4.6,museum,New York
Ellis Island National Museum of Immigration,4.7,museum,New York
Rose Center for Earth & Space,4.7,museum,New York
The Museum at FIT,4.4,museum,New York
The Met Breuer,4.5,museum,New York
Best Clubs In New York,3.8,night_club,New York
Marquee New York,3.1,night_club,New York
LAVO Italian Restaurant,4.0,night_club,New York
The Press Lounge,4.5,night_club,New York
PHD Lounge,3.2,night_club,New York
48 Lounge,4.3,night_club,New York
1 OAK,2.5,night_club,New York
Katra Lounge & Event Space,3.9,night_club,New York
Le Bain,3.7,night_club,New York
The Copacabana Times Square,3.4,night_club,New York
Retroclubnyc,4.0,night_club,New York
The Monster,3.8,night_club,New York
TAO Downtown Nightclub,3.6,night_club,New York
Sky Room,3.6,night_club,New York
Sound Of Brazil,3.9,night_club,New York
XL Nightclub,3.5,night_club,New York
5 Bar Karaoke Lounge NYC,4.1,night_club,New York
M1-5 Lounge,3.9,night_club,New York
Gotham Lounge,4.0,night_club,New York
Babylon Hookah Lounge,3.5,night_club,New York
Le Coucou,4.6,restaurant,New York
Le Bernardin,4.7,restaurant,New York
Blue Hill,4.6,restaurant,New York
Piccola Cucina Osteria Siciliana,4.6,restaurant,New York
Frenchette,4.4,restaurant,New York
Via Carota,4.6,restaurant,New York
Olio e Piú,4.5,restaurant,New York
THE GRILL,4.5,restaurant,New York
Daniel,4.6,restaurant,New York
Estela,4.5,restaurant,New York
Carmine's Italian Restaurant - Times Square,4.5,restaurant,New York
Piccola Cucina,4.6,restaurant,New York
Nur,4.3,restaurant,New York
Bouley at Home,4.6,restaurant,New York
Clement,4.4,restaurant,New York
Cafe Un Deux Trois,4.3,restaurant,New York
Acqua Restaurant NYC,4.5,restaurant,New York
Cafe Boulud,4.5,restaurant,New York
Malaparte,4.5,restaurant,New York
Joseph Leonard,4.6,restaurant,New York
Atlantic Terminal Mall,4.2,shopping_mall,New York
Brookfield Place,4.5,shopping_mall,New York
Newport Centre,4.3,shopping_mall,New York
Amazing Energy SPA - Asian Massage SPA in New York,4.0,spa,New York
Energy Bodywork - Massage SPA in New York,4.8,spa,New York
The Peninsula Spa New York,4.6,spa,New York
"The Spa at Mandarin Oriental, New York",3.9,spa,New York
IN•GLO Med Spa,4.8,spa,New York
Oasis Day Spa,4.5,spa,New York
AIRE Ancient Baths New York,4.6,spa,New York
Great Jones Spa,4.0,spa,New York
Spa Castle,4.0,spa,New York
Ohm Spa,4.6,spa,New York
Premier57,3.7,spa,New York
Skin Spa New York - Soho,4.1,spa,New York
Skin Spa New York - Flatiron,3.8,spa,New York
The Couple's Spa,4.5,spa,New York
Eden Day Spa,4.5,spa,New York
The Spa at Four Seasons Hotel New York Downtown,5.0,spa,New York
Metamorphosis Day Spa,4.7,spa,New York
Haven,4.4,spa,New York
The Red Door Salon & Spa,4.4,spa,New York
"Good Day SPA & massage, Asian Therapist, Spa in Manhattan, massage in Manhattan, Manhattan Massage",4.9,spa,New York
Yankee Stadium,4.6,stadium,New York
Icahn Stadium,4.4,stadium,New York
Madison Square Garden,4.7,stadium,New York
Wien Stadium,4.2,stadium,New York
Miller Stadium,4.2,stadium,New York
MSG Networks,4.5,stadium,New York
Arena,4.3,stadium,New York
MCU Park,4.5,stadium,New York
Belson Stadium,4.3,stadium,New York
Citi Field,4.6,stadium,New York
Rocco B. Commisso Soccer Stadium,4.6,stadium,New York
Campbell Sports Center,4.6,stadium,New York
Barclays Center,4.4,stadium,New York
Polo Grounds,3.6,stadium,New York
Arena Flooring,0.0,stadium,New York
Arthur Ashe Stadium,4.8,stadium,New York
Events Master,5.0,stadium,New York
Cellufun,0.0,stadium,New York
Van Cortlandt Stadium,4.5,stadium,New York
Columbia University Baker Athletics Complex,4.4,stadium,New York
Central Park Zoo,4.4,zoo,New York
Bronx Zoo,4.5,zoo,New York
Prospect Park Zoo,4.4,zoo,New York
Queens Zoo,4.4,zoo,New York
Central Park Zoo Security,4.5,zoo,New York
Staten Island Zoo,4.4,zoo,New York
Jungle World,4.6,zoo,New York
World of Birds,4.7,zoo,New York
"Madagascar, Bronx Zoo",4.5,zoo,New York
"Palace Hotel, a Luxury Collection Hotel, San Francisco",4.5,hotel,San Francisco
The Westin St. Francis San Francisco on Union Square,4.3,hotel,San Francisco
Americania Hotel,3.7,hotel,San Francisco
"The Ritz-Carlton, San Francisco",4.6,hotel,San Francisco
Fairmont San Francisco,4.5,hotel,San Francisco
W San Francisco,4.3,hotel,San Francisco
The Park Central San Francisco,4.2,hotel,San Francisco
Hotel Vertigo San Francisco,4.1,hotel,San Francisco
Four Seasons Hotel San Francisco,4.6,hotel,San Francisco
Hilton San Francisco Union Square,4.2,hotel,San Francisco
Hotel Diva,3.8,hotel,San Francisco
The St. Regis San Francisco,4.6,hotel,San Francisco
InterContinental San Francisco,4.4,hotel,San Francisco
JW Marriott San Francisco Union Square,4.4,hotel,San Francisco
San Francisco Marriott Marquis,4.4,hotel,San Francisco
Courtyard by Marriott San Francisco Union Square,4.0,hotel,San Francisco
Cova Hotel,3.8,hotel,San Francisco
Handlery Union Square Hotel,4.0,hotel,San Francisco
The Orchard Hotel,4.3,hotel,San Francisco
Loews Regency San Francisco,4.7,hotel,San Francisco
California's Great America,4.4,amusement_park,San Francisco
Six Flags Discovery Kingdom,4.2,amusement_park,San Francisco
Smuggler's Cove,4.5,bar,San Francisco
Mikkeller Bar,4.5,bar,San Francisco
Bourbon & Branch,4.5,bar,San Francisco
Alchemist Bar & Lounge,4.3,bar,San Francisco
Pacific Cocktail Haven,4.6,bar,San Francisco
The Beehive,4.5,bar,San Francisco
Trick Dog,4.6,bar,San Francisco
Cityscape Bar & Lounge,4.6,bar,San Francisco
Comstock Saloon,4.5,bar,San Francisco
The Saloon,4.6,bar,San Francisco
The View Lounge,4.4,bar,San Francisco
The Interval at Long Now,4.7,bar,San Francisco
Charmaine's Rooftop Bar & Lounge,4.4,bar,San Francisco
Holy Water,4.5,bar,San Francisco
Last Call Bar,4.4,bar,San Francisco
Redwood Room,4.3,bar,San Francisco
Absinthe Brasserie & Bar,4.3,bar,San Francisco
Benjamin Cooper,4.5,bar,San Francisco
Twin Peaks Tavern,4.5,bar,San Francisco
Amelie San Francisco,4.5,bar,San Francisco
Cafe Francisco,4.4,cafe,San Francisco
KitTea Cat Cafe,4.5,cafe,San Francisco
Atlas Cafe,4.3,cafe,San Francisco
Réveille Coffee Co.,4.6,cafe,San Francisco
Crossroads Cafe,4.6,cafe,San Francisco
Hollywood Cafe,4.5,cafe,San Francisco
Mo'z Cafe,4.2,cafe,San Francisco
Dottie's True Blue Cafe,4.2,cafe,San Francisco
Just For You Cafe,4.6,cafe,San Francisco
Cafe Réveille,4.4,cafe,San Francisco
Tosca Cafe,4.5,cafe,San Francisco
Rose's Cafe,4.3,cafe,San Francisco
Bazaar Café,4.7,cafe,San Francisco
Sightglass Coffee,4.5,cafe,San Francisco
BeanStalk Cafe,4.4,cafe,San Francisco
Pat's Cafe,4.5,cafe,San Francisco
Blue Bottle Coffee,4.5,cafe,San Francisco
Gallery Cafe,4.6,cafe,San Francisco
Stable Cafe,4.6,cafe,San Francisco
Darren's Cafe,4.3,cafe,San Francisco
RH RedHawk Casino,4.0,casino,San Francisco
Parkwest Casinos,0.0,casino,San Francisco
Lucky Chances,3.5,casino,San Francisco
San Pablo Lytton Casino,3.5,casino,San Francisco
Oaks Card Club,3.9,casino,San Francisco
Artichoke Joe's Casino,3.9,casino,San Francisco
21 Fun Casino Party,5.0,casino,San Francisco
The Lytton Rancheria,5.0,casino,San Francisco
Casino Night,0.0,casino,San Francisco
Salsa Rueda Festival,4.5,casino,San Francisco
San Francisco Marriott Marquis,4.4,casino,San Francisco
casino in Richmond,0.0,casino,San Francisco
San Francisco Marriott Union Square,4.3,casino,San Francisco
San Francisco Marriott Fisherman's Wharf,4.3,casino,San Francisco
Graton Resort and Casino,4.0,casino,San Francisco
Palace Poker Casino,3.6,casino,San Francisco
The Clift Royal Sonesta Hotel,4.1,casino,San Francisco
California Grand Casino,3.7,casino,San Francisco
4s casino party San Francisco,3.0,casino,San Francisco
Blue Shell Games,0.0,casino,San Francisco
San Francisco Museum of Modern Art,4.7,museum,San Francisco
de Young Museum,4.6,museum,San Francisco
Asian Art Museum,4.5,museum,San Francisco
Legion of Honor,4.7,museum,San Francisco
California Academy of Sciences,4.6,museum,San Francisco
Exploratorium,4.7,museum,San Francisco
The Walt Disney Family Museum,4.6,museum,San Francisco
Museum of the African Diaspora,4.3,museum,San Francisco
Contemporary Jewish Museum,4.2,museum,San Francisco
Cable Car Museum,4.6,museum,San Francisco
Children's Creativity Museum,4.6,museum,San Francisco
Cartoon Art Museum,4.1,museum,San Francisco
Yerba Buena Center for the Arts,4.5,museum,San Francisco
Beat Museum,4.3,museum,San Francisco
Randall Museum,4.7,museum,San Francisco
Musée Mécanique,4.6,museum,San Francisco
Museum Of 3D Illusions,4.2,museum,San Francisco
Museum of Craft and Design,4.2,museum,San Francisco
Museo Italo Americano,4.1,museum,San Francisco
San Francisco Railway Museum,4.2,museum,San Francisco
HUE,3.8,night_club,San Francisco
The Grand,3.5,night_club,San Francisco
City Nights,3.7,night_club,San Francisco
F8,4.3,night_club,San Francisco
Audio Nightclub,4.2,night_club,San Francisco
Monarch,4.1,night_club,San Francisco
Origin,3.3,night_club,San Francisco
1015 Folsom,3.9,night_club,San Francisco
OASIS,4.4,night_club,San Francisco
The Holy Cow,3.1,night_club,San Francisco
Halcyon SF,4.2,night_club,San Francisco
The EndUp,3.4,night_club,San Francisco
SF Disco Preservation Society,0.0,night_club,San Francisco
Rouge Night Club,3.4,night_club,San Francisco
Love + Propaganda,3.5,night_club,San Francisco
Monroe,4.1,night_club,San Francisco
El Toro Night Club,4.1,night_club,San Francisco
Make-Out Room,3.9,night_club,San Francisco
Mr. Smith's,3.8,night_club,San Francisco
DNA Lounge,4.2,night_club,San Francisco
Liholiho Yacht Club,4.7,restaurant,San Francisco
Birdsong,4.8,restaurant,San Francisco
Gary Danko,4.6,restaurant,San Francisco
Seven Hills,4.7,restaurant,San Francisco
Rich Table,4.7,restaurant,San Francisco
Lazy Bear,4.8,restaurant,San Francisco
Quince,4.6,restaurant,San Francisco
Kokkari Estiatorio,4.7,restaurant,San Francisco
Chapeau!,4.7,restaurant,San Francisco
Acquerello,4.6,restaurant,San Francisco
Hog Island Oyster Co.,4.5,restaurant,San Francisco
La Ciccia,4.7,restaurant,San Francisco
L'Ardoise,4.7,restaurant,San Francisco
State Bird Provisions,4.6,restaurant,San Francisco
Boulevard,4.5,restaurant,San Francisco
Californios,4.6,restaurant,San Francisco
Chez maman east,4.6,restaurant,San Francisco
House of Prime Rib,4.7,restaurant,San Francisco
Betty Lou's Seafood & Grill,4.6,restaurant,San Francisco
Benu,4.6,restaurant,San Francisco
Westfield San Francisco Centre,4.3,shopping_mall,San Francisco
Stonestown Galleria,4.1,shopping_mall,San Francisco
PIER 39,4.6,shopping_mall,San Francisco
International Orange San Francisco,4.9,spa,San Francisco
Kabuki Springs & Spa,4.7,spa,San Francisco
SenSpa,4.7,spa,San Francisco
Pearl Spa and Sauna,4.8,spa,San Francisco
Nob Hill Spa at Huntington Hotel,4.4,spa,San Francisco
Spa Vitale,4.4,spa,San Francisco
Burke Williams,4.0,spa,San Francisco
Royal Thai Spa,4.2,spa,San Francisco
"QUA, The SPA at SOMA GRAND",4.6,spa,San Francisco
Spa Nordstrom - San Francisco Centre,4.3,spa,San Francisco
Pure Organic Spa,4.2,spa,San Francisco
Earthbody,4.8,spa,San Francisco
"Spa Radiance - Facial, Massage, Skin & Body Treatments",4.0,spa,San Francisco
Spa J'Adore,4.3,spa,San Francisco
Remede Spa,3.0,spa,San Francisco
Imperial Spa,4.2,spa,San Francisco
Cocoon Urban Day Spa,4.3,spa,San Francisco
Serenity Wellness Spa,4.6,spa,San Francisco
CoCo Spa by CoZi Skincare,5.0,spa,San Francisco
Massage Envy - San Francisco-Metreon,3.8,spa,San Francisco
Kezar Stadium,4.6,stadium,San Francisco
Oracle Park,4.7,stadium,San Francisco
Boxer Stadium,4.1,stadium,San Francisco
Golden State Warriors Stadium,4.6,stadium,San Francisco
Cox Stadium,4.4,stadium,San Francisco
Negoesco Stadium,4.3,stadium,San Francisco
Kezar Pavilion,4.1,stadium,San Francisco
War Memorial Gymnasium,4.3,stadium,San Francisco
Tripels Alley in Oracle Stadium,0.0,stadium,San Francisco
Balboa Park - Sundberg Field,0.0,stadium,San Francisco
Site of former Seals Stadium,0.0,stadium,San Francisco
Cow Palace Arena & Event Center,4.1,stadium,San Francisco
甲骨文球场,0.0,stadium,San Francisco
Arena SF,3.6,stadium,San Francisco
Levi's Stadium,4.4,stadium,San Francisco
Flywheel Sports: Stadium Cycling,0.0,stadium,San Francisco
Golden Gate Park Polo Field,4.4,stadium,San Francisco
1-A District Agricultural Association,0.0,stadium,San Francisco
Arena Ready CrossFit,5.0,stadium,San Francisco
Public House,4.2,stadium,San Francisco
San Francisco Zoo,4.4,zoo,San Francisco
Penguin Island at The San Francisco Zoo,4.7,zoo,San Francisco
Insect Zoo,4.6,zoo,San Francisco
Hearst Grizzly Gulch,4.5,zoo,San Francisco
"Termales Agua Caliente, San Francisco",4.0,zoo,San Francisco
Oakland Zoo,4.5,zoo,San Francisco
Australian WalkAbout,0.0,zoo,San Francisco
Little Explorers Mobile Petting Zoo,3.6,zoo,San Francisco
California Wildlife Foundation,3.6,zoo,San Francisco
Aquarium of the Bay,4.1,zoo,San Francisco
Wayne & Gladys Valley Children's Zoo,4.6,zoo,San Francisco
California Trail,4.7,zoo,San Francisco
CuriOdyssey,4.6,zoo,San Francisco
San Francisco Zoo Events & Hospitality,4.5,zoo,San Francisco
Ala Moana Hotel,4.1,hotel,Honolulu
Waikiki Grand Hotel,4.0,hotel,Honolulu
Ambassador Hotel Waikiki,3.3,hotel,Honolulu
Queen Kapiolani Hotel,3.9,hotel,Honolulu
Pacific Marina Inn,3.3,hotel,Honolulu
Hawaiian Monarch Hotel,3.3,hotel,Honolulu
Stay Hotel Waikiki,3.5,hotel,Honolulu
THE MODERN HONOLULU,4.3,hotel,Honolulu
‘Alohilani Resort Waikiki Beach,4.2,hotel,Honolulu
Park Shore Waikiki Hotel,4.2,hotel,Honolulu
The New Otani Kaimana Beach Hotel,4.3,hotel,Honolulu
Holiday Inn Express Waikiki,4.0,hotel,Honolulu
Aston at the Waikiki Banyan,3.9,hotel,Honolulu
Embassy Suites by Hilton Waikiki Beach Walk,4.4,hotel,Honolulu
Coconut Waikiki Hotel,4.2,hotel,Honolulu
The Equus,3.9,hotel,Honolulu
Best Western The Plaza Hotel,3.8,hotel,Honolulu
Holiday Surf Hotel,3.8,hotel,Honolulu
Vive Hotel Waikiki,4.4,hotel,Honolulu
Waikiki Beach Marriott Resort & Spa,4.3,hotel,Honolulu
Hawaii Water Sports Center,4.0,amusement_park,Honolulu
Koa Beach Service,4.1,amusement_park,Honolulu
Hawaii Duck Tours,4.1,amusement_park,Honolulu
Bay View Mini-Putt and Zipline,4.3,amusement_park,Honolulu
Tilt,3.8,amusement_park,Honolulu
The Groove Hawaii,3.0,amusement_park,Honolulu
Bar Leather Apron,4.7,bar,Honolulu
The Tchin Tchin! Bar,4.4,bar,Honolulu
Hula’s Bar and Lei Stand,4.3,bar,Honolulu
Bacchus Waikiki,4.4,bar,Honolulu
The Brewseum,4.8,bar,Honolulu
Bevy,4.4,bar,Honolulu
Tikis Grill & Bar,4.2,bar,Honolulu
Amuse Wine Bar,4.6,bar,Honolulu
Murphy's Bar & Grill,4.5,bar,Honolulu
Honolulu Tavern,4.4,bar,Honolulu
Arnold's Beach Bar,4.4,bar,Honolulu
Lewers Lounge,4.7,bar,Honolulu
Vino Italian Tapas & Wine Bar,4.7,bar,Honolulu
Bar 35,4.2,bar,Honolulu
Mai Tai Bar,4.3,bar,Honolulu
Wang Chung's Karaoke Bar,4.4,bar,Honolulu
Suzy Wong's Hideaway,4.6,bar,Honolulu
The Manifest,4.3,bar,Honolulu
The Social Honolulu Eatery and Bar,4.2,bar,Honolulu
In Between,4.5,bar,Honolulu
Gorilla in the Cafe,4.2,cafe,Honolulu
In-Yo Cafe,3.4,cafe,Honolulu
Honolulu Coffee Company,4.6,cafe,Honolulu
Goofy Cafe & Dine,4.2,cafe,Honolulu
Morning Glass Coffee,4.6,cafe,Honolulu
Koko Head Cafe,4.6,cafe,Honolulu
Kai Coffee Hawaii,4.6,cafe,Honolulu
Kona Coffee Purveyors,4.6,cafe,Honolulu
Peace Cafe,4.6,cafe,Honolulu
ARS Cafe and Gelato,4.6,cafe,Honolulu
Bluetree Cafe,4.6,cafe,Honolulu
Honolulu Museum of Art Cafe,4.4,cafe,Honolulu
Hiking Hawaii Cafe,4.7,cafe,Honolulu
HiBlend Health Bar & Cafe,4.6,cafe,Honolulu
Kaimana Farm Cafe + Deli,4.4,cafe,Honolulu
The Curb Kaimuki,4.7,cafe,Honolulu
Café Grace,4.1,cafe,Honolulu
Hawaiian Aroma Caffe,4.4,cafe,Honolulu
Raintree Bakery Coffeehouse,4.9,cafe,Honolulu
La Tour Cafe,4.4,cafe,Honolulu
Tihati Productions,4.4,casino,Honolulu
Aria LLC,5.0,casino,Honolulu
The Orleans,0.0,casino,Honolulu
Waikiki Resort Hotel,3.9,casino,Honolulu
Island Casino,0.0,casino,Honolulu
Orleans Resorts Marketing Office,0.0,casino,Honolulu
Honolulu Museum of Art,4.5,museum,Honolulu
Bishop Museum,4.6,museum,Honolulu
Pearl Harbor Aviation Museum,4.6,museum,Honolulu
The Honolulu Museum of Art Spalding House,4.6,museum,Honolulu
"Shangri La Museum of Islamic Art, Culture & Design",4.6,museum,Honolulu
Iolani Palace,4.5,museum,Honolulu
Hawaii State Art Museum,4.5,museum,Honolulu
Hawaii Army Museum Society,4.5,museum,Honolulu
USS Bowfin Submarine Museum & Park,4.7,museum,Honolulu
Pearl Harbor National Memorial,4.7,museum,Honolulu
Battleship Missouri Memorial,4.8,museum,Honolulu
Hawaiian Mission Houses Historic Site and Archives,4.5,museum,Honolulu
Doris Duke Theatre,4.5,museum,Honolulu
Children's Discovery Center,4.5,museum,Honolulu
Queen Emma Summer Palace,4.6,museum,Honolulu
Lucoral Museum,4.8,museum,Honolulu
Japanese Cultural Center of Hawaiʻi,4.2,museum,Honolulu
The Brewseum,4.8,museum,Honolulu
Honolulu Fire Department Museum and Education Center,4.6,museum,Honolulu
Father Damien Museum,1.0,museum,Honolulu
The District Nightclub,3.5,night_club,Honolulu
Addiction,2.8,night_club,Honolulu
Play Bar Night Club Waikiki,2.9,night_club,Honolulu
Pure Hawaii Nightclub,3.8,night_club,Honolulu
Salsamor,4.9,night_club,Honolulu
NextDoor,4.1,night_club,Honolulu
Club Mermaid,2.5,night_club,Honolulu
Leslie's Place,4.6,night_club,Honolulu
The Republik,4.1,night_club,Honolulu
Ballarrinas Gentlemen's Club 18+,3.9,night_club,Honolulu
Micronesian Nightclub,3.0,night_club,Honolulu
Jazz Minds Honolulu,4.5,night_club,Honolulu
Scarlet Honolulu,3.7,night_club,Honolulu
Hawaii By Night Gentlemen's Club,4.2,night_club,Honolulu
Outrigger Canoe Club,4.7,night_club,Honolulu
SKY Waikiki,3.7,night_club,Honolulu
Sakura,0.0,night_club,Honolulu
Club Sundance,1.7,night_club,Honolulu
Surfjack Hotel & Swim Club,4.5,night_club,Honolulu
Rotary Club of Honolulu,5.0,night_club,Honolulu
Senia,4.7,restaurant,Honolulu
Alan Wong's,4.5,restaurant,Honolulu
The Pig and The Lady,4.4,restaurant,Honolulu
Helena's Hawaiian Food,4.6,restaurant,Honolulu
Karai Crab,4.6,restaurant,Honolulu
Chef Chai,4.6,restaurant,Honolulu
Koko Head Cafe,4.6,restaurant,Honolulu
"Tommy Bahama Restaurant, Bar & Store",4.4,restaurant,Honolulu
La Mer,4.6,restaurant,Honolulu
Ono Seafood Products,4.6,restaurant,Honolulu
Lucky Belly,4.5,restaurant,Honolulu
Uncle Bo's Pupu Bar & Grill,4.5,restaurant,Honolulu
Sunrise Restaurant,4.7,restaurant,Honolulu
Duke's Waikiki,4.4,restaurant,Honolulu
Nanzan Giro Giro,4.7,restaurant,Honolulu
The Original Roy's in Hawaii Kai,4.5,restaurant,Honolulu
Tonkatsu Tamafuji,4.7,restaurant,Honolulu
Marukame Udon Waikiki,4.5,restaurant,Honolulu
Sweet E's Café,4.6,restaurant,Honolulu
Nico's Pier 38,4.4,restaurant,Honolulu
SALT At Our Kakaako,4.3,shopping_mall,Honolulu
Niu Valley Center,3.7,shopping_mall,Honolulu
Kahala Mall,4.2,shopping_mall,Honolulu
Pucks Alley,3.9,shopping_mall,Honolulu
Ward Entertainment Center,4.2,shopping_mall,Honolulu
Moanalua Shopping Center,4.2,shopping_mall,Honolulu
Spa Pure - Honolulu Day Spa,4.6,spa,Honolulu
Honolulu Spa and Wellness,4.9,spa,Honolulu
Moana Lani Spa,4.4,spa,Honolulu
Laka Skin Care and Spa,4.7,spa,Honolulu
Mandara Spa at Hilton Hawaiian Village Waikiki Beach Resort,3.5,spa,Honolulu
Pure Joy Day Spa,4.9,spa,Honolulu
Heaven on Earth Salon & Day Spa,4.7,spa,Honolulu
Siam Thai Massage and Spa Honolulu,4.8,spa,Honolulu
Yoni Steam Honolulu,4.9,spa,Honolulu
SpaHalekulani,4.4,spa,Honolulu
Thai Banyan Massage & Spa Honolulu,4.4,spa,Honolulu
The Spa at Trump,4.5,spa,Honolulu
Paradise Massages Waikiki & Spa,4.4,spa,Honolulu
Waikiki Massage and Foot Spa LLC,4.9,spa,Honolulu
abhasa spa,3.9,spa,Honolulu
Na Ho'ola Spa,4.7,spa,Honolulu
LaaKea Spa and Salon,3.8,spa,Honolulu
Hoala Salon & Spa,4.5,spa,Honolulu
Reneux Med & Day Spa,4.9,spa,Honolulu
Organic Spa,4.9,spa,Honolulu
Aloha Stadium,4.3,stadium,Honolulu
Stan Sheriff Center,4.5,stadium,Honolulu
Les Murakami Baseball Stadium,4.5,stadium,Honolulu
Rainbow Wahine Softball Stadium,4.1,stadium,Honolulu
Honolulu Zoo,4.2,zoo,Honolulu
The Lakefront Anchorage,4.2,hotel,Anchorage
Hilton Anchorage,3.9,hotel,Anchorage
Embassy Suites by Hilton Anchorage,4.4,hotel,Anchorage
Westmark,3.7,hotel,Anchorage
Aspen Suites Hotel Anchorage,4.1,hotel,Anchorage
Hyatt House Anchorage,4.5,hotel,Anchorage
Clarion Suites Downtown,3.8,hotel,Anchorage
Home2 Suites by Hilton Anchorage/Midtown,4.4,hotel,Anchorage
Hotel Captain Cook,4.4,hotel,Anchorage
Aviator Hotel Anchorage,3.3,hotel,Anchorage
Fairfield Inn & Suites by Marriott Anchorage Midtown,4.2,hotel,Anchorage
Courtyard by Marriott Anchorage Airport,4.3,hotel,Anchorage
Anchorage Marriott Downtown,4.1,hotel,Anchorage
Dimond Center Hotel,4.1,hotel,Anchorage
Best Western Golden Lion Hotel,3.9,hotel,Anchorage
Hilton Garden Inn Anchorage,4.3,hotel,Anchorage
Homewood Suites by Hilton Anchorage,4.4,hotel,Anchorage
TownePlace Suites by Marriott Anchorage Midtown,4.2,hotel,Anchorage
Clarion Suites,4.0,hotel,Anchorage
SpringHill Suites by Marriott Anchorage University Lake,4.2,hotel,Anchorage
Roadrunner Amusement Park,4.1,amusement_park,Anchorage
H2Oasis Indoor Waterpark,3.6,amusement_park,Anchorage
F Street Station,4.5,bar,Anchorage
Darwin's Theory,4.4,bar,Anchorage
The Bubbly Mermaid Oyster Bar,4.4,bar,Anchorage
Van's Dive Bar,4.2,bar,Anchorage
Pioneer Bar,4.1,bar,Anchorage
Chilkoot Charlie's,4.0,bar,Anchorage
Polar Bar,4.3,bar,Anchorage
Kinley's Restaurant & Bar,4.5,bar,Anchorage
Crossroads Lounge,4.4,bar,Anchorage
Avenue Bar,4.0,bar,Anchorage
The Raven,4.5,bar,Anchorage
