Total Rating Counts,Average of Ratings,Max Number of Reviews,Average Number of Reviews,city_sort,interest_sort
20,4.14,499.0,132.75,"Fort Worth,  TX",night_club
20,4.64,2881.0,893.65,"Fort Worth,  TX",restaurant
20,4.29,9241.0,1987.7,"Fort Worth,  TX",shopping_mall
20,4.33,202.0,63.9,"Fort Worth,  TX",spa
20,4.18,16846.0,941.25,"Fort Worth,  TX",stadium
4,4.45,9611.0,2425.5,"Fort Worth,  TX",zoo
10,2.64,1313.0,449.9,"Fresno,  CA",amusement_park
20,4.33,3715.0,388.45,"Fresno,  CA",bar
20,4.38,855.0,334.15,"Fresno,  CA",cafe
20,3.57,6695.0,1021.5,"Fresno,  CA",casino
20,3.97,1177.0,473.0,"Fresno,  CA",hotel
20,3.86,334.0,51.9,"Fresno,  CA",museum
20,3.45,673.0,104.35,"Fresno,  CA",night_club
20,4.56,1669.0,458.5,"Fresno,  CA",restaurant
1,4.0,396.0,396.0,"Fresno,  CA",shopping_mall
20,4.31,126.0,47.1,"Fresno,  CA",spa
20,4.04,1462.0,270.9,"Fresno,  CA",stadium
2,4.85,5478.0,2744.0,"Fresno,  CA",zoo
5,4.26,311.0,96.8,"Gainesville,  FL",amusement_park
20,4.5,1214.0,330.25,"Gainesville,  FL",bar
20,4.32,1273.0,394.25,"Gainesville,  FL",cafe
14,3.74,914.0,533.0,"Gainesville,  FL",casino
20,4.22,883.0,363.2,"Gainesville,  FL",hotel
10,4.67,1421.0,167.7,"Gainesville,  FL",museum
20,3.68,299.0,54.8,"Gainesville,  FL",night_club
20,4.59,1706.0,718.95,"Gainesville,  FL",restaurant
20,4.31,4196.0,749.95,"Gainesville,  FL",shopping_mall
20,4.42,214.0,65.95,"Gainesville,  FL",spa
5,4.64,2095.0,629.0,"Gainesville,  FL",stadium
2,4.25,121.0,61.5,"Gainesville,  FL",zoo
8,4.36,4032.0,1099.62,"Grand Rapids,  MI",amusement_park
20,4.49,2684.0,504.5,"Grand Rapids,  MI",bar
20,4.6,783.0,307.05,"Grand Rapids,  MI",cafe
20,3.22,6392.0,370.15,"Grand Rapids,  MI",casino
20,4.16,4129.0,891.65,"Grand Rapids,  MI",hotel
12,4.15,5252.0,966.67,"Grand Rapids,  MI",museum
20,4.18,2684.0,503.9,"Grand Rapids,  MI",night_club
20,4.64,1573.0,761.2,"Grand Rapids,  MI",restaurant
20,3.49,3879.0,466.25,"Grand Rapids,  MI",shopping_mall
20,4.65,154.0,44.8,"Grand Rapids,  MI",spa
8,4.55,4546.0,946.88,"Grand Rapids,  MI",stadium
1,4.5,3567.0,3567.0,"Grand Rapids,  MI",zoo
7,4.34,2134.0,709.57,"Greensboro,  NC",amusement_park
20,4.51,1624.0,375.65,"Greensboro,  NC",bar
20,4.48,1179.0,340.45,"Greensboro,  NC",cafe
10,4.14,1213.0,267.3,"Greensboro,  NC",casino
20,4.12,1625.0,488.5,"Greensboro,  NC",hotel
12,4.57,3403.0,433.25,"Greensboro,  NC",museum
20,3.53,503.0,65.55,"Greensboro,  NC",night_club
20,4.54,2466.0,987.75,"Greensboro,  NC",restaurant
20,4.18,5119.0,782.8,"Greensboro,  NC",shopping_mall
20,4.44,255.0,68.1,"Greensboro,  NC",spa
20,3.6,2254.0,350.2,"Greensboro,  NC",stadium
2,4.7,10154.0,6778.5,"Greensboro,  NC",zoo
5,3.72,1839.0,577.0,"Hartford,  CT",amusement_park
20,4.33,745.0,315.85,"Hartford,  CT",bar
20,4.5,632.0,125.35,"Hartford,  CT",cafe
20,4.09,22142.0,1589.45,"Hartford,  CT",casino
20,4.0,971.0,419.35,"Hartford,  CT",hotel
18,4.38,1808.0,271.83,"Hartford,  CT",museum
20,3.84,432.0,72.3,"Hartford,  CT",night_club
20,4.47,2137.0,562.25,"Hartford,  CT",restaurant
20,3.86,4378.0,651.8,"Hartford,  CT",shopping_mall
20,3.55,97.0,21.5,"Hartford,  CT",spa
20,4.13,1800.0,332.65,"Hartford,  CT",stadium
6,3.93,2142.0,515.0,"Hartford,  CT",zoo
20,4.4,1035.0,306.9,"Honolulu,  HI",bar
20,4.43,1366.0,275.05,"Honolulu,  HI",cafe
3,3.13,8.0,3.0,"Honolulu,  HI",casino
20,3.82,12464.0,1419.85,"Honolulu,  HI",hotel
20,4.35,6763.0,1110.4,"Honolulu,  HI",museum
11,3.85,460.0,107.09,"Honolulu,  HI",night_club
20,4.49,4980.0,1172.65,"Honolulu,  HI",restaurant
10,4.2,13373.0,3269.7,"Honolulu,  HI",shopping_mall
20,4.54,184.0,45.9,"Honolulu,  HI",spa
20,4.05,2741.0,285.05,"Honolulu,  HI",stadium
1,4.2,4649.0,4649.0,"Honolulu,  HI",zoo
2,3.85,2463.0,1504.0,"Houston,  TX",amusement_park
20,4.53,3710.0,681.25,"Houston,  TX",bar
20,4.4,1776.0,748.3,"Houston,  TX",cafe
20,3.54,187.0,23.3,"Houston,  TX",casino
20,4.1,4640.0,1202.9,"Houston,  TX",hotel
20,4.58,18410.0,2293.8,"Houston,  TX",museum
20,3.68,536.0,197.6,"Houston,  TX",night_club
20,4.62,4136.0,1471.4,"Houston,  TX",restaurant
4,4.08,16379.0,6877.0,"Houston,  TX",shopping_mall
20,4.44,573.0,90.3,"Houston,  TX",spa
20,4.4,13783.0,2175.15,"Houston,  TX",stadium
1,4.6,17236.0,17236.0,"Houston,  TX",zoo
8,4.44,1608.0,268.0,"Huntsville,  AL",amusement_park
20,4.37,1577.0,490.45,"Huntsville,  AL",bar
20,4.54,1604.0,359.65,"Huntsville,  AL",cafe
8,3.98,1451.0,437.5,"Huntsville,  AL",casino
20,4.24,1451.0,463.0,"Huntsville,  AL",hotel
15,4.5,5317.0,474.33,"Huntsville,  AL",museum
20,3.29,392.0,71.8,"Huntsville,  AL",night_club
20,4.49,2171.0,867.4,"Huntsville,  AL",restaurant
20,4.24,5191.0,780.4,"Huntsville,  AL",shopping_mall
20,4.03,104.0,37.35,"Huntsville,  AL",spa
10,4.1,731.0,124.2,"Huntsville,  AL",stadium
5,4.38,2086.0,627.8,"Huntsville,  AL",zoo
1,4.8,20.0,20.0,"Indianapolis,  IN",amusement_park
20,4.39,1979.0,567.75,"Indianapolis,  IN",bar
20,4.48,1099.0,368.6,"Indianapolis,  IN",cafe
19,3.45,5253.0,1025.05,"Indianapolis,  IN",casino
20,4.38,4601.0,1313.3,"Indianapolis,  IN",hotel
20,4.61,7946.0,1070.4,"Indianapolis,  IN",museum
20,3.98,984.0,133.25,"Indianapolis,  IN",night_club
20,4.56,2651.0,962.4,"Indianapolis,  IN",restaurant
8,3.99,6564.0,1763.5,"Indianapolis,  IN",shopping_mall
20,4.42,171.0,54.25,"Indianapolis,  IN",spa
3,4.63,8079.0,3682.33,"Indianapolis,  IN",stadium
1,4.5,8530.0,8530.0,"Indianapolis,  IN",zoo
11,3.56,30227.0,3025.0,"Irvine,  CA",amusement_park
20,4.34,1384.0,358.7,"Irvine,  CA",bar
20,4.27,1110.0,178.1,"Irvine,  CA",cafe
20,3.58,2836.0,480.55,"Irvine,  CA",casino
20,4.27,2836.0,796.65,"Irvine,  CA",hotel
10,2.93,932.0,150.5,"Irvine,  CA",museum
20,4.16,424.0,84.75,"Irvine,  CA",night_club
20,4.49,1453.0,455.45,"Irvine,  CA",restaurant
2,4.3,1309.0,907.0,"Irvine,  CA",shopping_mall
20,4.17,551.0,55.6,"Irvine,  CA",spa
11,4.25,244.0,38.36,"Irvine,  CA",stadium
5,4.52,2695.0,1338.6,"Irvine,  CA",zoo
13,4.04,1894.0,470.38,"Jacksonville,  FL",amusement_park
20,4.44,1335.0,413.8,"Jacksonville,  FL",bar
20,4.46,1496.0,487.7,"Jacksonville,  FL",cafe
3,4.1,672.0,620.67,"Jacksonville,  FL",casino
20,3.91,3168.0,954.4,"Jacksonville,  FL",hotel
20,4.34,1408.0,184.75,"Jacksonville,  FL",museum
20,4.15,1335.0,277.85,"Jacksonville,  FL",night_club
20,4.58,2386.0,896.05,"Jacksonville,  FL",restaurant
2,4.35,6329.0,5900.5,"Jacksonville,  FL",shopping_mall
20,4.4,1187.0,132.75,"Jacksonville,  FL",spa
6,4.55,4320.0,1504.0,"Jacksonville,  FL",stadium
1,4.6,8665.0,8665.0,"Jacksonville,  FL",zoo
20,3.96,23373.0,1798.7,"Jersey City,  NJ",amusement_park
20,4.44,1787.0,485.55,"Jersey City,  NJ",bar
20,4.46,445.0,177.1,"Jersey City,  NJ",cafe
18,3.67,1990.0,396.78,"Jersey City,  NJ",casino
20,3.89,1990.0,577.9,"Jersey City,  NJ",hotel
20,4.51,41423.0,3136.2,"Jersey City,  NJ",museum
20,4.01,1080.0,223.45,"Jersey City,  NJ",night_club
20,4.51,1190.0,414.35,"Jersey City,  NJ",restaurant
20,3.58,9750.0,831.35,"Jersey City,  NJ",shopping_mall
20,3.9,192.0,29.9,"Jersey City,  NJ",spa
7,4.37,1045.0,222.71,"Jersey City,  NJ",stadium
20,3.99,17879.0,2476.8,"Jersey City,  NJ",zoo
15,4.24,7170.0,959.07,"Kansas City,  MO",amusement_park
20,4.51,2421.0,618.0,"Kansas City,  MO",bar
20,4.61,1714.0,423.4,"Kansas City,  MO",cafe
15,3.28,7512.0,1853.67,"Kansas City,  MO",casino
20,3.88,2852.0,874.1,"Kansas City,  MO",hotel
20,4.46,8555.0,1671.4,"Kansas City,  MO",museum
20,3.98,1948.0,242.85,"Kansas City,  MO",night_club
20,4.64,7036.0,1420.9,"Kansas City,  MO",restaurant
20,3.96,6393.0,1714.35,"Kansas City,  MO",shopping_mall
20,4.57,272.0,73.35,"Kansas City,  MO",spa
20,4.06,8545.0,999.5,"Kansas City,  MO",stadium
1,4.6,8555.0,8555.0,"Kansas City,  MO",zoo
9,4.26,17127.0,2040.78,"Knoxville,  TN",amusement_park
20,4.51,989.0,319.95,"Knoxville,  TN",bar
20,4.49,1456.0,328.35,"Knoxville,  TN",cafe
8,3.49,11942.0,1583.75,"Knoxville,  TN",casino
20,4.16,1250.0,517.7,"Knoxville,  TN",hotel
16,4.31,600.0,103.56,"Knoxville,  TN",museum
20,3.84,640.0,81.3,"Knoxville,  TN",night_club
20,4.51,2820.0,1066.2,"Knoxville,  TN",restaurant
20,4.2,5763.0,1014.7,"Knoxville,  TN",shopping_mall
20,4.5,522.0,75.85,"Knoxville,  TN",spa
1,4.7,2337.0,2337.0,"Knoxville,  TN",stadium
1,4.5,4837.0,4837.0,"Knoxville,  TN",zoo
20,3.99,3970.0,517.45,"Las Vegas,  NV",amusement_park
20,4.44,1357.0,459.1,"Las Vegas,  NV",bar
20,4.43,1398.0,430.2,"Las Vegas,  NV",cafe
20,4.23,66201.0,17321.9,"Las Vegas,  NV",casino
20,4.4,66201.0,19948.25,"Las Vegas,  NV",hotel
20,4.37,6078.0,1081.6,"Las Vegas,  NV",museum
20,3.64,28119.0,1707.55,"Las Vegas,  NV",night_club
20,4.61,3044.0,1017.15,"Las Vegas,  NV",restaurant
20,4.33,54321.0,6350.4,"Las Vegas,  NV",shopping_mall
20,4.25,16484.0,901.3,"Las Vegas,  NV",spa
12,4.48,10033.0,1413.58,"Las Vegas,  NV",stadium
11,4.39,3836.0,892.91,"Las Vegas,  NV",zoo
11,3.35,4878.0,984.55,"Lexington,  KY",amusement_park
20,4.51,540.0,181.25,"Lexington,  KY",bar
20,4.54,792.0,192.85,"Lexington,  KY",cafe
8,4.29,1156.0,364.5,"Lexington,  KY",casino
20,4.15,1249.0,633.4,"Lexington,  KY",hotel
20,4.3,831.0,133.1,"Lexington,  KY",museum
20,3.79,329.0,82.65,"Lexington,  KY",night_club
20,4.56,1468.0,662.7,"Lexington,  KY",restaurant
20,4.16,5018.0,898.45,"Lexington,  KY",shopping_mall
20,4.34,280.0,58.7,"Lexington,  KY",spa
15,4.24,4306.0,538.4,"Lexington,  KY",stadium
13,4.47,12167.0,1932.38,"Lexington,  KY",zoo
7,4.01,675.0,286.0,"Little Rock,  AR",amusement_park
20,4.41,1020.0,294.75,"Little Rock,  AR",bar
20,4.28,1205.0,299.25,"Little Rock,  AR",cafe
10,3.02,4052.0,564.0,"Little Rock,  AR",casino
20,4.11,1502.0,652.2,"Little Rock,  AR",hotel
20,4.5,1380.0,154.6,"Little Rock,  AR",museum
20,4.33,398.0,83.5,"Little Rock,  AR",night_club
20,4.52,1565.0,637.9,"Little Rock,  AR",restaurant
1,4.5,4.0,4.0,"Little Rock,  AR",shopping_mall
20,4.6,167.0,47.6,"Little Rock,  AR",spa
2,4.25,707.0,383.0,"Little Rock,  AR",stadium
1,4.2,2225.0,2225.0,"Little Rock,  AR",zoo
16,3.91,29152.0,2240.06,"Long Beach,  CA",amusement_park
20,4.47,1025.0,367.3,"Long Beach,  CA",bar
20,4.47,1333.0,342.0,"Long Beach,  CA",cafe
20,3.04,1850.0,456.5,"Long Beach,  CA",casino
20,4.16,2350.0,888.2,"Long Beach,  CA",hotel
20,4.62,16623.0,940.5,"Long Beach,  CA",museum
20,4.26,427.0,99.1,"Long Beach,  CA",night_club
20,4.53,1708.0,740.7,"Long Beach,  CA",restaurant
1,4.1,193.0,193.0,"Long Beach,  CA",shopping_mall
20,4.58,106.0,27.6,"Long Beach,  CA",spa
20,4.5,3886.0,396.8,"Long Beach,  CA",stadium
17,4.48,27034.0,4518.06,"Long Beach,  CA",zoo
20,3.21,79887.0,4522.5,"Los Angeles,  CA",amusement_park
20,4.38,1008.0,416.1,"Los Angeles,  CA",bar
20,4.5,2046.0,542.45,"Los Angeles,  CA",cafe
20,3.89,1850.0,416.0,"Los Angeles,  CA",casino
20,4.24,5248.0,2040.55,"Los Angeles,  CA",hotel
20,4.58,15581.0,3945.3,"Los Angeles,  CA",museum
20,3.94,504.0,147.2,"Los Angeles,  CA",night_club
20,4.54,3450.0,951.05,"Los Angeles,  CA",restaurant
7,4.36,20438.0,7103.86,"Los Angeles,  CA",shopping_mall
20,4.28,1732.0,190.9,"Los Angeles,  CA",spa
9,4.59,22015.0,5256.89,"Los Angeles,  CA",stadium
2,4.45,9804.0,5147.0,"Los Angeles,  CA",zoo
3,4.5,4878.0,2481.33,"Louisville,  KY",amusement_park
20,4.41,1067.0,560.4,"Louisville,  KY",bar
20,4.56,1134.0,318.45,"Louisville,  KY",cafe
19,3.96,5439.0,1084.74,"Louisville,  KY",casino
20,4.2,4980.0,1201.3,"Louisville,  KY",hotel
20,4.6,4303.0,725.95,"Louisville,  KY",museum
20,3.82,650.0,122.9,"Louisville,  KY",night_club
20,4.63,1427.0,569.0,"Louisville,  KY",restaurant
20,4.09,5036.0,1346.05,"Louisville,  KY",shopping_mall
20,4.44,228.0,72.7,"Louisville,  KY",spa
20,4.49,4666.0,380.65,"Louisville,  KY",stadium
1,4.5,5371.0,5371.0,"Louisville,  KY",zoo
1,4.4,494.0,494.0,"Lubbock,  TX",amusement_park
20,4.27,786.0,270.25,"Lubbock,  TX",bar
20,4.27,710.0,235.1,"Lubbock,  TX",cafe
3,2.5,58.0,20.33,"Lubbock,  TX",casino
20,4.2,896.0,309.15,"Lubbock,  TX",hotel
8,4.64,445.0,190.75,"Lubbock,  TX",museum
20,3.82,128.0,29.2,"Lubbock,  TX",night_club
20,4.46,1845.0,800.9,"Lubbock,  TX",restaurant
20,4.22,4088.0,433.15,"Lubbock,  TX",shopping_mall
20,4.51,187.0,42.65,"Lubbock,  TX",spa
12,4.2,903.0,170.83,"Lubbock,  TX",stadium
15,4.5,771.0,275.8,"Lubbock,  TX",zoo
1,4.8,2318.0,2318.0,"Madison,  WI",amusement_park
20,4.53,713.0,298.15,"Madison,  WI",bar
20,4.47,653.0,278.95,"Madison,  WI",cafe
5,4.0,3882.0,1353.2,"Madison,  WI",casino
20,4.24,1685.0,669.55,"Madison,  WI",hotel
13,4.2,1255.0,314.92,"Madison,  WI",museum
20,4.05,438.0,143.1,"Madison,  WI",night_club
20,4.58,2479.0,740.65,"Madison,  WI",restaurant
2,4.05,230.0,173.0,"Madison,  WI",shopping_mall
20,4.54,301.0,53.2,"Madison,  WI",spa
20,4.26,1357.0,230.0,"Madison,  WI",stadium
1,4.6,4370.0,4370.0,"Madison,  WI",zoo
11,4.39,577.0,164.27,"Memphis,  TN",amusement_park
20,4.49,1400.0,319.3,"Memphis,  TN",bar
20,4.52,943.0,310.8,"Memphis,  TN",cafe
14,3.8,6450.0,2203.21,"Memphis,  TN",casino
20,4.03,1965.0,514.35,"Memphis,  TN",hotel
20,3.99,4169.0,251.55,"Memphis,  TN",night_club
20,4.54,4169.0,1348.25,"Memphis,  TN",restaurant
20,3.98,3845.0,856.35,"Memphis,  TN",shopping_mall
20,4.52,127.0,46.65,"Memphis,  TN",spa
6,4.28,3638.0,1023.17,"Memphis,  TN",stadium
1,4.6,7137.0,7137.0,"Memphis,  TN",zoo
20,4.35,3371.0,872.25,"Miami,  FL",bar
20,4.46,2920.0,638.6,"Miami,  FL",cafe
20,3.56,12119.0,1823.15,"Miami,  FL",casino
20,4.12,3796.0,1393.65,"Miami,  FL",hotel
20,4.42,5371.0,935.35,"Miami,  FL",museum
20,3.85,2376.0,361.2,"Miami,  FL",night_club
20,4.6,3271.0,715.85,"Miami,  FL",restaurant
5,4.28,1598.0,347.0,"Miami,  FL",shopping_mall
20,4.24,1075.0,127.15,"Miami,  FL",spa
20,4.16,10749.0,1228.75,"Miami,  FL",stadium
1,4.5,10633.0,10633.0,"Miami,  FL",zoo
14,4.08,830.0,238.79,"Milwaukee,  WI",amusement_park
20,4.51,1691.0,451.65,"Milwaukee,  WI",bar
20,4.58,2275.0,514.05,"Milwaukee,  WI",cafe
1,4.0,10103.0,10103.0,"Milwaukee,  WI",casino
20,4.3,2723.0,871.4,"Milwaukee,  WI",hotel
20,4.64,4647.0,811.75,"Milwaukee,  WI",museum
20,3.99,341.0,69.2,"Milwaukee,  WI",night_club
20,4.65,2137.0,576.25,"Milwaukee,  WI",restaurant
2,3.9,16.0,11.0,"Milwaukee,  WI",shopping_mall
20,4.43,215.0,64.35,"Milwaukee,  WI",spa
20,3.86,14783.0,1175.8,"Milwaukee,  WI",stadium
16,4.03,5344.0,925.25,"Minneapolis,  MN",amusement_park
20,4.47,3495.0,1021.5,"Minneapolis,  MN",bar
20,4.49,1234.0,384.9,"Minneapolis,  MN",cafe
20,4.23,13091.0,2502.45,"Minneapolis,  MN",casino
20,4.33,1913.0,1059.5,"Minneapolis,  MN",hotel
20,4.6,4729.0,762.75,"Minneapolis,  MN",museum
20,3.84,799.0,149.9,"Minneapolis,  MN",night_club
20,4.62,3679.0,1180.3,"Minneapolis,  MN",restaurant
11,4.04,30459.0,4122.0,"Minneapolis,  MN",shopping_mall
20,4.64,262.0,49.35,"Minneapolis,  MN",spa
7,4.26,10583.0,3719.0,"Minneapolis,  MN",stadium
20,4.66,8515.0,1114.2,"Minneapolis,  MN",zoo
20,4.08,4878.0,773.2,"Nashville,  TN",amusement_park
20,4.52,2993.0,1068.05,"Nashville,  TN",bar
20,4.53,5007.0,733.5,"Nashville,  TN",cafe
20,4.07,17627.0,1535.15,"Nashville,  TN",casino
20,4.3,17627.0,1930.6,"Nashville,  TN",hotel
20,4.56,6532.0,1770.75,"Nashville,  TN",museum
20,4.16,3933.0,625.65,"Nashville,  TN",night_club
20,4.64,5007.0,1404.15,"Nashville,  TN",restaurant
20,4.28,14376.0,1553.8,"Nashville,  TN",shopping_mall
20,4.48,230.0,55.7,"Nashville,  TN",spa
7,4.33,8079.0,2380.57,"Nashville,  TN",stadium
1,4.5,7449.0,7449.0,"Nashville,  TN",zoo
10,3.57,822.0,96.3,"New Orleans,  LA",amusement_park
20,4.56,4947.0,852.65,"New Orleans,  LA",bar
20,4.48,24715.0,1902.3,"New Orleans,  LA",cafe
8,3.9,5860.0,1384.25,"New Orleans,  LA",casino
20,4.31,4552.0,1645.8,"New Orleans,  LA",hotel
20,4.42,11559.0,1225.4,"New Orleans,  LA",museum
20,4.22,1638.0,249.4,"New Orleans,  LA",night_club
20,4.63,7205.0,1441.15,"New Orleans,  LA",restaurant
2,4.2,266.0,177.0,"New Orleans,  LA",shopping_mall
20,4.25,181.0,42.2,"New Orleans,  LA",spa
20,3.94,7095.0,611.3,"New Orleans,  LA",stadium
5,4.6,7011.0,3184.2,"New Orleans,  LA",zoo
20,4.21,7767.0,796.5,"New York,  NY",amusement_park
20,4.42,10168.0,1414.4,"New York,  NY",bar
20,4.42,1776.0,455.4,"New York,  NY",cafe
5,4.06,9166.0,3546.2,"New York,  NY",casino
20,4.24,2235.0,662.05,"New York,  NY",hotel
20,4.51,42345.0,8043.15,"New York,  NY",museum
20,3.73,1367.0,475.6,"New York,  NY",night_club
20,4.61,2822.0,1010.4,"New York,  NY",restaurant
12,4.07,151751.0,17519.5,"New York,  NY",shopping_mall
20,4.27,986.0,170.65,"New York,  NY",spa
20,3.53,25828.0,3660.15,"New York,  NY",stadium
6,4.35,17879.0,7123.0,"New York,  NY",zoo
20,4.43,781.0,306.6,"Oakland,  CA",bar
20,4.57,643.0,183.35,"Oakland,  CA",cafe
14,3.08,3712.0,484.36,"Oakland,  CA",casino
20,4.04,1574.0,679.0,"Oakland,  CA",hotel
20,4.37,1838.0,249.9,"Oakland,  CA",museum
20,3.97,908.0,176.0,"Oakland,  CA",night_club
20,4.53,2758.0,687.95,"Oakland,  CA",restaurant
1,3.6,1654.0,1654.0,"Oakland,  CA",shopping_mall
20,4.42,183.0,33.25,"Oakland,  CA",spa
5,4.3,7758.0,2958.4,"Oakland,  CA",stadium
2,4.6,5876.0,3035.0,"Oakland,  CA",zoo
20,3.26,3840.0,392.4,"Oklahoma City,  OK",amusement_park
20,4.37,2376.0,419.0,"Oklahoma City,  OK",bar
20,4.58,1419.0,331.5,"Oklahoma City,  OK",cafe
20,3.65,5562.0,1485.5,"Oklahoma City,  OK",casino
20,4.29,1191.0,239.55,"Oklahoma City,  OK",hotel
20,4.65,4940.0,592.7,"Oklahoma City,  OK",museum
20,3.99,388.0,89.1,"Oklahoma City,  OK",night_club
20,4.56,2169.0,1068.65,"Oklahoma City,  OK",restaurant
6,4.05,6526.0,1377.67,"Oklahoma City,  OK",shopping_mall
20,4.39,210.0,59.3,"Oklahoma City,  OK",spa
20,3.8,5308.0,400.2,"Oklahoma City,  OK",stadium
1,4.6,6127.0,6127.0,"Oklahoma City,  OK",zoo
3,3.0,3839.0,1280.0,"Olympia,  WA",amusement_park
20,4.44,1109.0,286.1,"Olympia,  WA",bar
20,4.38,1228.0,333.95,"Olympia,  WA",cafe
4,4.0,4866.0,3496.5,"Olympia,  WA",casino
20,3.89,1150.0,366.65,"Olympia,  WA",hotel
12,4.16,2110.0,386.08,"Olympia,  WA",museum
16,3.95,1384.0,223.06,"Olympia,  WA",night_club
20,4.5,1384.0,561.6,"Olympia,  WA",restaurant
18,3.37,4126.0,515.72,"Olympia,  WA",shopping_mall
20,4.27,86.0,33.8,"Olympia,  WA",spa
6,3.45,727.0,161.0,"Olympia,  WA",stadium
11,4.58,6859.0,1445.27,"Olympia,  WA",zoo
6,4.5,152195.0,55795.83,"Orlando,  FL",amusement_park
20,4.44,1202.0,456.35,"Orlando,  FL",bar
20,4.51,876.0,329.85,"Orlando,  FL",cafe
20,3.94,22392.0,2507.9,"Orlando,  FL",casino
20,4.36,6475.0,1756.15,"Orlando,  FL",hotel
20,4.54,17997.0,1885.7,"Orlando,  FL",museum
20,4.02,2741.0,323.85,"Orlando,  FL",night_club
20,4.6,2628.0,738.35,"Orlando,  FL",restaurant
3,4.5,25469.0,14465.0,"Orlando,  FL",shopping_mall
20,4.29,661.0,131.45,"Orlando,  FL",spa
20,4.43,9727.0,910.4,"Orlando,  FL",stadium
20,4.25,49246.0,3830.75,"Orlando,  FL",zoo
4,3.12,271.0,156.75,"Peoria,  IL",amusement_park
20,4.43,835.0,329.75,"Peoria,  IL",bar
20,4.18,1542.0,205.15,"Peoria,  IL",cafe
6,4.27,1872.0,382.33,"Peoria,  IL",casino
20,4.12,1198.0,399.15,"Peoria,  IL",hotel
10,4.69,777.0,186.0,"Peoria,  IL",museum
20,3.82,234.0,45.7,"Peoria,  IL",night_club
20,4.58,1553.0,569.15,"Peoria,  IL",restaurant
20,3.74,2002.0,515.3,"Peoria,  IL",shopping_mall
20,4.16,104.0,26.5,"Peoria,  IL",spa
5,4.28,666.0,177.8,"Peoria,  IL",stadium
1,4.4,819.0,819.0,"Peoria,  IL",zoo
20,4.42,2061.0,526.45,"Philadelphia,  PA",bar
20,4.47,2304.0,626.35,"Philadelphia,  PA",cafe
7,4.16,7841.0,3190.0,"Philadelphia,  PA",casino
20,4.31,5178.0,1548.0,"Philadelphia,  PA",hotel
20,3.63,298.0,102.0,"Philadelphia,  PA",night_club
20,4.67,2562.0,846.75,"Philadelphia,  PA",restaurant
4,4.15,9611.0,3694.75,"Philadelphia,  PA",shopping_mall
20,4.33,227.0,80.1,"Philadelphia,  PA",spa
20,4.49,9708.0,1363.6,"Philadelphia,  PA",stadium
20,4.44,7408.0,1105.2,"Philadelphia,  PA",zoo
20,4.48,1737.0,504.35,"Phoenix,  AZ",bar
20,4.51,1653.0,593.7,"Phoenix,  AZ",cafe
20,3.91,8924.0,2327.65,"Phoenix,  AZ",casino
20,4.26,2793.0,888.5,"Phoenix,  AZ",hotel
20,4.58,6793.0,1104.45,"Phoenix,  AZ",museum
20,3.8,651.0,150.4,"Phoenix,  AZ",night_club
20,4.6,3632.0,1073.5,"Phoenix,  AZ",restaurant
1,3.9,6219.0,6219.0,"Phoenix,  AZ",shopping_mall
20,4.64,3905.0,434.45,"Phoenix,  AZ",spa
18,4.01,10261.0,1948.28,"Phoenix,  AZ",stadium
12,4.66,8650.0,1393.25,"Phoenix,  AZ",zoo
1,4.3,7669.0,7669.0,"Pittsburgh,  PA",amusement_park
20,4.46,1514.0,422.65,"Pittsburgh,  PA",bar
20,4.5,501.0,255.35,"Pittsburgh,  PA",cafe
1,3.9,7835.0,7835.0,"Pittsburgh,  PA",casino
20,4.32,3974.0,1204.85,"Pittsburgh,  PA",hotel
20,4.65,3043.0,763.9,"Pittsburgh,  PA",museum
20,3.93,808.0,127.9,"Pittsburgh,  PA",night_club
20,4.61,2189.0,980.6,"Pittsburgh,  PA",restaurant
1,4.2,1481.0,1481.0,"Pittsburgh,  PA",shopping_mall
20,4.32,180.0,45.45,"Pittsburgh,  PA",spa
6,4.6,9244.0,4325.0,"Pittsburgh,  PA",stadium
1,4.5,6962.0,6962.0,"Pittsburgh,  PA",zoo
6,4.32,1323.0,671.67,"Portland,  ME",amusement_park
20,4.6,1500.0,397.2,"Portland,  ME",bar
20,4.56,609.0,200.15,"Portland,  ME",cafe
6,4.15,1249.0,282.0,"Portland,  ME",casino
20,4.36,1060.0,514.45,"Portland,  ME",hotel
20,4.13,4170.0,330.35,"Portland,  ME",museum
20,3.48,343.0,69.2,"Portland,  ME",night_club
20,4.68,1808.0,473.0,"Portland,  ME",restaurant
1,3.9,177.0,177.0,"Portland,  ME",shopping_mall
20,4.38,394.0,57.05,"Portland,  ME",spa
8,4.3,668.0,216.75,"Portland,  ME",stadium
4,4.55,1323.0,647.25,"Portland,  ME",zoo
2,4.6,3253.0,1629.0,"Portland,  OR",amusement_park
20,4.58,1083.0,420.8,"Portland,  OR",bar
20,4.5,1153.0,415.5,"Portland,  OR",cafe
20,3.58,8259.0,901.45,"Portland,  OR",casino
20,4.43,2692.0,1046.95,"Portland,  OR",hotel
20,4.45,6741.0,1062.8,"Portland,  OR",museum
20,3.8,1159.0,208.75,"Portland,  OR",night_club
20,4.68,3800.0,847.65,"Portland,  OR",restaurant
5,4.02,3904.0,2250.0,"Portland,  OR",shopping_mall
20,4.48,550.0,79.2,"Portland,  OR",spa
20,3.5,6798.0,563.95,"Portland,  OR",stadium
