Total Rating Counts,Average of Ratings,Max Number of Reviews,Average Number of Reviews,city_sort,interest_sort
20,4.54,206.0,94.95,"Austin,  TX",spa
14,4.09,1680.0,265.07,"Austin,  TX",stadium
2,4.15,2418.0,1306.0,"Austin,  TX",zoo
4,4.25,1557.0,586.25,"Bakersfield,  CA",amusement_park
20,4.23,1596.0,305.15,"Bakersfield,  CA",bar
20,4.48,875.0,335.5,"Bakersfield,  CA",cafe
2,4.5,357.0,242.5,"Bakersfield,  CA",casino
20,4.03,1164.0,557.3,"Bakersfield,  CA",hotel
20,4.57,715.0,136.65,"Bakersfield,  CA",museum
20,4.1,579.0,103.05,"Bakersfield,  CA",night_club
20,4.48,1839.0,778.3,"Bakersfield,  CA",restaurant
20,4.12,5832.0,818.25,"Bakersfield,  CA",shopping_mall
20,4.5,317.0,47.35,"Bakersfield,  CA",spa
6,3.72,921.0,349.17,"Bakersfield,  CA",stadium
1,4.7,1016.0,1016.0,"Bakersfield,  CA",zoo
20,4.53,1564.0,368.5,"Baltimore,  MD",bar
20,4.42,2643.0,548.9,"Baltimore,  MD",cafe
5,3.74,6015.0,2069.4,"Baltimore,  MD",casino
20,4.12,2829.0,1252.45,"Baltimore,  MD",hotel
20,4.54,13237.0,1210.35,"Baltimore,  MD",museum
20,3.98,3313.0,240.2,"Baltimore,  MD",night_club
20,4.56,2643.0,1062.2,"Baltimore,  MD",restaurant
5,3.84,6038.0,2729.2,"Baltimore,  MD",shopping_mall
20,4.26,110.0,45.25,"Baltimore,  MD",spa
20,3.7,8526.0,665.9,"Baltimore,  MD",stadium
1,4.4,3452.0,3452.0,"Baltimore,  MD",zoo
20,4.2,1170.0,460.7,"Bellevue,  WA",bar
20,4.21,889.0,185.8,"Bellevue,  WA",cafe
13,4.08,4062.0,864.54,"Bellevue,  WA",casino
20,4.25,2454.0,782.8,"Bellevue,  WA",hotel
5,4.46,6930.0,1603.0,"Bellevue,  WA",museum
20,3.43,1058.0,196.65,"Bellevue,  WA",night_club
20,4.43,2001.0,609.55,"Bellevue,  WA",restaurant
20,3.8,10082.0,1158.65,"Bellevue,  WA",shopping_mall
20,4.22,127.0,47.9,"Bellevue,  WA",spa
12,3.98,9705.0,1156.67,"Bellevue,  WA",stadium
7,4.27,10987.0,1710.86,"Bellevue,  WA",zoo
4,3.32,356.0,118.25,"Bellingham,  WA",amusement_park
20,4.51,1009.0,214.05,"Bellingham,  WA",bar
20,4.53,797.0,278.3,"Bellingham,  WA",cafe
20,4.12,2897.0,696.2,"Bellingham,  WA",casino
20,4.22,685.0,371.25,"Bellingham,  WA",hotel
9,4.17,337.0,85.11,"Bellingham,  WA",museum
14,3.77,489.0,137.57,"Bellingham,  WA",night_club
20,4.52,2003.0,591.55,"Bellingham,  WA",restaurant
17,3.16,3375.0,421.29,"Bellingham,  WA",shopping_mall
20,4.63,466.0,43.35,"Bellingham,  WA",spa
13,4.45,1955.0,204.77,"Bellingham,  WA",stadium
5,4.02,10987.0,2996.4,"Bellingham,  WA",zoo
6,4.4,10976.0,3427.83,"Berkeley,  CA",amusement_park
20,4.45,2297.0,444.65,"Berkeley,  CA",bar
20,4.38,548.0,225.15,"Berkeley,  CA",cafe
7,2.59,3712.0,652.29,"Berkeley,  CA",casino
20,3.88,1551.0,395.0,"Berkeley,  CA",hotel
18,4.57,426.0,74.22,"Berkeley,  CA",museum
20,3.66,668.0,179.2,"Berkeley,  CA",night_club
20,4.53,2297.0,776.15,"Berkeley,  CA",restaurant
1,3.6,1654.0,1654.0,"Berkeley,  CA",shopping_mall
20,4.45,1292.0,98.7,"Berkeley,  CA",spa
3,3.73,538.0,198.33,"Berkeley,  CA",stadium
5,4.48,5876.0,1771.8,"Berkeley,  CA",zoo
2,4.3,1435.0,983.0,"Birmingham,  AL",amusement_park
20,4.49,1028.0,400.7,"Birmingham,  AL",bar
20,4.41,863.0,332.25,"Birmingham,  AL",cafe
16,3.98,9150.0,954.94,"Birmingham,  AL",casino
20,4.14,1943.0,601.25,"Birmingham,  AL",hotel
20,4.53,2570.0,466.85,"Birmingham,  AL",museum
20,4.0,122.0,36.6,"Birmingham,  AL",night_club
20,4.65,3097.0,796.25,"Birmingham,  AL",restaurant
1,4.4,1368.0,1368.0,"Birmingham,  AL",shopping_mall
20,4.47,190.0,45.45,"Birmingham,  AL",spa
20,4.07,4202.0,373.4,"Birmingham,  AL",stadium
1,4.3,3956.0,3956.0,"Birmingham,  AL",zoo
6,4.67,1997.0,617.17,"Boise,  ID",amusement_park
20,4.5,1314.0,309.4,"Boise,  ID",bar
20,4.46,899.0,320.5,"Boise,  ID",cafe
8,3.26,1322.0,211.38,"Boise,  ID",casino
20,4.34,1481.0,564.8,"Boise,  ID",hotel
15,4.47,1144.0,250.73,"Boise,  ID",museum
20,3.75,460.0,151.6,"Boise,  ID",night_club
20,4.58,2470.0,877.45,"Boise,  ID",restaurant
2,4.3,29.0,25.5,"Boise,  ID",shopping_mall
20,4.53,367.0,80.6,"Boise,  ID",spa
11,3.73,865.0,264.91,"Boise,  ID",stadium
1,4.2,2801.0,2801.0,"Boise,  ID",zoo
20,4.35,1725.0,557.65,"Boston,  MA",bar
20,4.47,1835.0,456.55,"Boston,  MA",cafe
20,3.4,10437.0,1074.35,"Boston,  MA",casino
20,4.22,4274.0,1679.2,"Boston,  MA",hotel
20,4.61,10556.0,2133.6,"Boston,  MA",museum
20,3.54,1206.0,241.5,"Boston,  MA",night_club
20,4.58,1779.0,709.45,"Boston,  MA",restaurant
20,4.14,206.0,39.75,"Boston,  MA",spa
20,3.84,18862.0,1587.35,"Boston,  MA",stadium
7,3.73,3041.0,1252.86,"Boston,  MA",zoo
1,4.1,1735.0,1735.0,"Boulder,  CO",amusement_park
20,4.4,1840.0,595.2,"Boulder,  CO",bar
20,4.46,865.0,294.85,"Boulder,  CO",cafe
20,3.82,7892.0,1136.85,"Boulder,  CO",casino
20,4.27,2363.0,567.7,"Boulder,  CO",hotel
13,4.59,129.0,55.38,"Boulder,  CO",museum
20,4.03,1840.0,293.5,"Boulder,  CO",night_club
20,4.57,1625.0,732.3,"Boulder,  CO",restaurant
20,4.44,1004.0,93.85,"Boulder,  CO",spa
1,4.6,780.0,780.0,"Boulder,  CO",stadium
12,3.91,11865.0,1227.58,"Boulder,  CO",zoo
3,4.47,7767.0,2744.33,"Brooklyn,  NY",amusement_park
20,4.54,1411.0,343.05,"Brooklyn,  NY",bar
20,4.46,1091.0,354.75,"Brooklyn,  NY",cafe
7,3.13,9166.0,1573.57,"Brooklyn,  NY",casino
20,3.95,1318.0,593.75,"Brooklyn,  NY",hotel
20,4.47,6374.0,1005.35,"Brooklyn,  NY",museum
20,4.03,809.0,170.55,"Brooklyn,  NY",night_club
20,4.47,5617.0,1097.2,"Brooklyn,  NY",restaurant
1,4.2,8956.0,8956.0,"Brooklyn,  NY",shopping_mall
20,4.38,355.0,71.75,"Brooklyn,  NY",spa
20,2.8,14483.0,864.2,"Brooklyn,  NY",stadium
11,3.88,17879.0,3940.0,"Brooklyn,  NY",zoo
2,3.95,8159.0,4698.5,"Buffalo,  NY",amusement_park
20,4.41,1388.0,377.25,"Buffalo,  NY",bar
20,4.54,722.0,263.2,"Buffalo,  NY",cafe
2,4.0,11854.0,7144.5,"Buffalo,  NY",casino
20,4.33,2037.0,619.25,"Buffalo,  NY",hotel
20,4.38,1625.0,360.0,"Buffalo,  NY",museum
20,3.69,840.0,96.65,"Buffalo,  NY",night_club
20,4.49,3691.0,910.45,"Buffalo,  NY",restaurant
2,4.35,210.0,109.5,"Buffalo,  NY",shopping_mall
20,3.66,178.0,24.8,"Buffalo,  NY",spa
12,4.49,4848.0,479.08,"Buffalo,  NY",stadium
1,4.3,2928.0,2928.0,"Buffalo,  NY",zoo
3,4.57,2156.0,776.67,"Burlington,  VT",amusement_park
20,4.39,1247.0,222.1,"Burlington,  VT",bar
20,4.54,533.0,202.95,"Burlington,  VT",cafe
5,4.28,2153.0,631.2,"Burlington,  VT",casino
20,4.23,1180.0,421.4,"Burlington,  VT",hotel
13,4.22,941.0,107.0,"Burlington,  VT",museum
20,3.93,321.0,82.75,"Burlington,  VT",night_club
